"URI","Label"
"info:regal/zettel/null", "Bitte wählen Sie..."
"http://d-nb.info/gnd/1032734787","AIP - Leibniz-Institut für Astrophysik, Potsdam (Sektion D)"
"http://d-nb.info/gnd/37457-X","ARL - ARL – Akademie für Raumentwicklung in der Leibniz-Gemeinschaft, Hannover (Sektion B)"
"http://d-nb.info/gnd/1119361486","ATB - Leibniz-Institut für Agrartechnik und Bioökonomie, Potsdam (Sektion E)"
"http://d-nb.info/gnd/1043624465","BIPS - Leibniz-Institut für Präventionsforschung und Epidemiologie, Bremen (Sektion C)"
"http://d-nb.info/gnd/5279549-4","BNITM - Bernhard-Nocht-Institut für Tropenmedizin, Hamburg (Sektion C)"
"http://d-nb.info/gnd/1042348-5","DBM - Deutsches Bergbau-Museum Bochum – Leibniz-Forschungsmuseum für Georessourcen, Bochum (Sektion A)"
"http://d-nb.info/gnd/16332572-8","DDZ - Deutsches Diabetes-Zentrum - Leibniz-Zentrum für Diabetes-Forschung an der Heinrich-Heine-Universität Düsseldorf, Düsseldorf (Sektion C)"
"http://d-nb.info/gnd/16155791-0","DFA - Deutsche Forschungsanstalt für Lebensmittelchemie, Freising (2010-2017)"
"http://d-nb.info/gnd/1173298126","DI - Leibniz-Institut für jüdische Geschichte und Kultur – Simon Dubnow, Leipzig (Sektion A)"
"http://d-nb.info/gnd/16176906-8","DIE - Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen, Bonn (Sektion A)"
"http://d-nb.info/gnd/5118980-X","DIfE - Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke, Nuthetal (Sektion C)"
"http://d-nb.info/gnd/117117618X","DIPF - DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation, Frankfurt am Main, Berlin (Sektion A)"
"http://d-nb.info/gnd/37419-2","DIW - DIW Berlin - Deutsches Institut für Wirtschaftsforschung, Berlin (Sektion B)"
"http://d-nb.info/gnd/1007827-7","DM - Deutsches Museum, München (Sektion A)"
"http://d-nb.info/gnd/3002218-6","DPZ - Deutsches Primatenzentrum - Leibniz-Institut für Primatenforschung, Göttingen (Sektion C)"
"http://d-nb.info/gnd/5305173-7","DRFZ - Deutsches Rheuma-Forschungszentrum, Berlin (Sektion C)"
"http://d-nb.info/gnd/2008892-9","DSM - Deutsches Schifffahrtsmuseum - Leibniz-Institut für Maritime Geschichte, Bremerhaven (Sektion A)"
"http://d-nb.info/gnd/1035759209","DSMZ - Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH, Braunschweig (Sektion C)"
"http://d-nb.info/gnd/1052225616","DWI - DWI - Leibniz-Institut für Interaktive Materialien, Aachen (Sektion D)"
"http://d-nb.info/gnd/16089664-2","FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik, Berlin (Sektion D)"
"http://d-nb.info/gnd/16072459-4","FBN - Leibniz-Institut für Nutztierbiologie, Dummerstorf (2009-2020)"
"http://d-nb.info/gnd/5029783-1","FCH - Fachinformationszentrum Chemie, Berlin (1981-2013)"
"http://d-nb.info/gnd/16099228-X","FIZ KA - FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur, Karlsruhe (Sektion D)"
"http://d-nb.info/gnd/1124471707","FLI - Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut, Jena (Sektion C)"
"http://d-nb.info/gnd/1150314389","FMP - Leibniz-Forschungsinstitut für Molekulare Pharmakologie, Berlin (Sektion C)"
"http://d-nb.info/gnd/10135462-9","FÖV - Deutsches Forschungsinstitut für öffentliche Verwaltung, Speyer (2005-2015)"
"http://d-nb.info/gnd/5174043-6","FZB - Forschungszentrum Borstel, Leibniz Lungenzentrum, Borstel (Sektion C)"
"http://d-nb.info/gnd/1044056-2","GEI - Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut, Braunschweig (Sektion A)"
"http://d-nb.info/gnd/16015541-1","GESIS - GESIS - Leibniz-Institut für Sozialwissenschaften, Mannheim, Köln (Sektion B)"
"http://d-nb.info/gnd/10126944-4","GIGA - German Institute for Global and Area Studies / Leibniz-Institut für Globale und Regionale Studien, Hamburg (Sektion B)"
"http://d-nb.info/gnd/36441-1","GNM - Germanisches Nationalmuseum – Leibniz-Forschungsmuseum für Kulturgeschichte, Nürnberg (Sektion A)"
"http://d-nb.info/gnd/1135144311","GWZO - Leibniz-Institut für Geschichte und Kultur des östlichen Europa, Leipzig (Sektion A)"
"http://d-nb.info/gnd/2013020-X","HBI - Leibniz-Institut für Medienforschung │ Hans-Bredow-Institut, Hamburg (Sektion B)"
"http://d-nb.info/gnd/3024025-6","HI - Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft, Marburg (Sektion A)"
"http://d-nb.info/gnd/6057389-2","HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut, Jena (Sektion C)"
"http://d-nb.info/gnd/16167877-4","HPI - Leibniz-Institut für Experimentelle Virologie, Hamburg (Sektion C)"
"http://d-nb.info/gnd/2033778-4","HSFK - Leibniz-Institut Hessische Stiftung Friedens- und Konfliktforschung, Frankfurt am Main (Sektion B)"
"http://d-nb.info/gnd/1046298321","IAMO - Leibniz-Institut für Agrarentwicklung in Transformationsökonomien, Halle (Sektion B)"
"http://d-nb.info/gnd/4761929-6","IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock, Kühlungsborn (Sektion D)"
"http://d-nb.info/gnd/2013759-X","IDS - Leibniz-Institut für Deutsche Sprache, Mannheim (Sektion A)"
"http://d-nb.info/gnd/2013759-X","IEG - Leibniz-Institut für Europäische Geschichte, Mainz (Sektion A)"
"http://d-nb.info/gnd/16152455-2","IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund, Dortmund (Sektion C)"
"http://d-nb.info/gnd/10065153-7","IfL - Leibniz-Institut für Länderkunde, Leipzig (Sektion B)"
"http://d-nb.info/gnd/6034875-6","IFM-GEOMAR - Leibniz-Institut für Meereswissenschaften an der Universität Kiel, Kiel (2004-2011)"
"http://d-nb.info/gnd/16345994-0","ifo - ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V., München (Sektion B)"
"http://d-nb.info/gnd/1007681-5","IfW - Kiel Institut für Weltwirtschaft, Kiel (Sektion B)"
"http://d-nb.info/gnd/10038043-8","IFWD - Leibniz-Institut für Festkörper- und Werkstoffforschung, Dresden (Sektion D)"
"http://d-nb.info/gnd/2014524-X","IfZ - Institut für Zeitgeschichte München, München, Berlin (Sektion A)"
"http://d-nb.info/gnd/10025895-5","IGB - Leibniz-Institut für Gewässerökologie und Binnenfischerei, Berlin (Sektion E)"
"http://d-nb.info/gnd/16020644-3","IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau, Großbeeren (Sektion E)"
"http://d-nb.info/gnd/6037010-5","IHP - Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder) (Sektion D)"
"http://d-nb.info/gnd/16175475-2","IKZ - Leibniz-Institut für Kristallzüchtung, Berlin (Sektion D)"
"http://d-nb.info/gnd/10123313-9","INM - INM - Leibniz-Institut für Neue Materialien, Saarbrücken (Sektion D)"
"http://d-nb.info/gnd/10360413-3","INP - Leibniz-Institut für Plasmaforschung und Technologie, Greifswald (Sektion D)"
"http://d-nb.info/gnd/10168766-7","IOM - Leibniz-Institut für Oberflächenmodifizierung, Leipzig (Sektion D)"
"http://d-nb.info/gnd/10061827-3","IÖR - Leibniz-Institut für ökologische Raumentwicklung, Dresden (Sektion B)"
"http://d-nb.info/gnd/1131732642","IOS - Leibniz-Institut für Ost- und Südosteuropaforschung, Regensburg (Sektion A)"
"http://d-nb.info/gnd/10353244-4","IOW - Leibniz-Institut für Ostseeforschung, Rostock-Warnemünde (Sektion E)"
"http://d-nb.info/gnd/10140857-2","IPB - Leibniz-Institut für Pflanzenbiochemie, Halle (Sektion C)"
"http://d-nb.info/gnd/10095026-7","IPF - Leibniz-Institut für Polymerforschung, Dresden (Sektion D)"
"http://d-nb.info/gnd/1069207349","IPHT - Leibniz-Institut für Photonische Technologien, Jena (Sektion D)"
"http://d-nb.info/gnd/10201111-4","IPK - Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung, Gatersleben (Sektion C)"
"http://d-nb.info/gnd/4073385-3","IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik an der Universität Kiel, Kiel (Sektion A)"
"http://d-nb.info/gnd/1100932461","IRS - Leibniz-Institut für Raumbezogene Sozialforschung, Erkner (Sektion B)"
"http://d-nb.info/gnd/16090656-8","ISAS - Leibniz-Institut für Analytische Wissenschaften – ISAS – e.V., Dortmund (Sektion D)"
"http://d-nb.info/gnd/1075931290","IUF - IUF – Leibniz-Institut für umweltmedizinische Forschung, Düsseldorf (Sektion C)"
"http://d-nb.info/gnd/1239691408","IVW - Leibniz-Institut für Verbundwerkstoffe, Kaiserslautern (Sektion D)"
"http://d-nb.info/gnd/1069182672","IWH - Leibniz-Institut für Wirtschaftsforschung, Halle (Sektion B)"
"http://d-nb.info/gnd/1072317591","IWM - Leibniz-Institut für Wissensmedien, Tübingen (Sektion A)"
"http://d-nb.info/gnd/1156569087","IWT - Leibniz-Institut für Werkstofforientierte Technologien, Bremen (Sektion D)"
"http://d-nb.info/gnd/10174100-5","IZW - Leibniz-Institut für Zoo- und Wildtierforschung, Berlin (Sektion C)"
